City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,la passe,45.5549,-0.8967,8.56,66,16,8.03,FR,1731519042
191,raholt,60.2667,11.1833,1.04,89,100,1.54,NO,1731519043
192,segou,13.4317,-6.2157,29.06,22,100,1.84,ML,1731519044
193,kita,13.0349,-9.4895,30.17,25,97,1.44,ML,1731519045
194,malabar,-33.9667,151.25,18.84,88,100,3.6,AU,1731519047
195,luderitz,-26.6481,15.1594,21.61,49,63,10.16,NA,1731519048
196,tangalle,6.024,80.7911,25.51,90,58,2.02,LK,1731519049
197,ntungamo,-0.8833,29.65,19.55,78,56,1.4,UG,1731519050
198,yorkton,51.2167,-102.4677,4.91,70,100,3.6,CA,1731519051
199,korla,41.7597,86.1469,8.45,51,88,2.7,CN,1731519052
200,carolina,18.3808,-65.9574,31.66,76,20,4.12,PR,1731519053
201,lucas,41.6501,-83.6666,9.07,51,0,5.14,US,1731518833
202,timbuktu,16.7735,-3.0074,30.51,12,0,3.12,ML,1731519058
203,hithadhoo,-0.6,73.0833,28.29,75,97,5.76,MV,1731519059
204,codrington,-38.2667,141.9667,9.34,76,69,3.26,AU,1731519060
205,port augusta,-32.5,137.7667,15.55,75,0,4.91,AU,1731518878
206,nova sintra,14.8667,-24.7167,25.85,69,65,9.0,CV,1731518830
207,hawaiian paradise park,19.5933,-154.9731,21.73,97,100,4.12,US,1731519064
208,colonia,50.9333,6.95,8.87,89,100,3.09,DE,1731518796
209,dhidhdhoo,6.8833,73.1,28.28,72,79,3.2,MV,1731519066
210,mhlume,-26.0333,31.85,21.32,64,20,5.02,SZ,1731519067
211,ouadda,8.0777,22.4007,24.6,45,10,2.32,CF,1731519068
212,cidreira,-30.1811,-50.2056,22.93,39,57,2.91,BR,1731519070
213,novoshakhtinskiy,44.025,132.1514,1.63,88,87,2.92,RU,1731519071
214,lompoc,34.6391,-120.4579,16.74,38,20,2.57,US,1731519072
215,takoradi,4.8845,-1.7554,28.0,79,61,2.03,GH,1731518843
216,qaqortoq,60.7167,-46.0333,-0.52,99,100,4.07,GL,1731519074
217,lihue,21.9789,-159.3672,23.77,64,20,8.23,US,1731519075
218,tolanaro,-25.0319,46.9987,26.04,89,40,5.14,MG,1731519077
219,shatrovo,56.5167,64.6333,-7.79,95,100,2.97,RU,1731519079
220,shakawe,-18.3667,21.85,26.41,47,99,1.49,BW,1731519080
221,bubaque,11.2833,-15.8333,28.68,49,100,2.96,GW,1731519081
222,constantia,44.1833,28.65,6.5,83,100,4.42,RO,1731519083
223,remire-montjoly,4.9167,-52.2667,31.02,70,75,6.69,GF,1731519084
224,banda aceh,5.5577,95.3222,26.46,83,94,2.21,ID,1731519085
225,sampit,-2.5333,112.95,24.24,96,90,0.04,ID,1731519087
226,ishinomaki,38.4167,141.3,6.73,75,83,2.72,JP,1731519089
227,hammerfest,70.6634,23.6821,5.25,81,75,7.2,NO,1731519091
228,illizi,26.4833,8.4667,23.0,24,1,3.11,DZ,1731519092
229,fairmont,39.4851,-80.1426,15.64,28,91,1.79,US,1731519093
230,goure,13.9835,10.2704,28.23,17,1,4.49,NE,1731519094
231,batarasa,8.6617,117.6222,26.47,85,41,1.38,PH,1731519095
232,karakoyunlu,39.8704,43.6301,-0.11,85,46,0.77,TR,1731519097
233,madridejos,39.4682,-3.532,9.07,90,100,10.37,ES,1731519098
234,queenstown,-31.8976,26.8753,12.48,82,64,4.35,ZA,1731519099
235,afaahiti,-17.75,-149.2833,23.38,74,100,7.05,PF,1731519100
236,kedrovyy,56.1667,91.8167,-14.56,90,85,1.61,RU,1731519101
237,ribeira grande,38.5167,-28.7,21.22,73,20,3.58,PT,1731519103
238,katsuren-haebaru,26.3369,127.8719,26.01,88,75,3.09,JP,1731519104
239,enewetak,11.3474,162.3373,28.29,75,28,7.58,MH,1731519105
240,settat,33.0007,-7.6204,16.67,64,100,4.1,MA,1731519106
241,nizhneudinsk,54.9076,99.0276,-12.37,89,89,0.92,RU,1731519107
242,north bend,43.4065,-124.2243,11.8,93,100,5.14,US,1731519108
243,susuman,62.7833,148.1667,-25.57,99,100,1.08,RU,1731519109
244,harstad,68.799,16.5293,2.86,96,100,13.41,NO,1731519110
245,rivera,-30.9053,-55.5508,25.17,82,2,4.31,UY,1731519112
246,newman,37.3138,-121.0208,14.72,52,59,2.92,US,1731519113
247,tapes,-30.6733,-51.3958,23.18,41,8,1.4,BR,1731519114
248,nampula,-15.1165,39.2666,29.97,45,40,6.17,MZ,1731518924
249,sretensk,52.2453,117.7093,-16.09,99,68,1.24,RU,1731519116
250,arica,-18.475,-70.3042,22.13,56,0,7.2,CL,1731518972
251,kingston,17.997,-76.7936,31.2,74,20,4.63,JM,1731519119
252,luanco,43.6152,-5.7934,12.79,77,73,7.29,ES,1731519120
253,puerto baquerizo moreno,-0.9,-89.6,25.55,69,40,6.69,EC,1731519041
254,bardai,11.65,7.2333,25.42,32,6,3.77,NG,1731519122
255,tazacorte,28.629,-17.9293,22.54,61,20,2.24,ES,1731519124
256,richards bay,-28.783,32.0377,21.19,70,10,6.66,ZA,1731519125
257,six-fours-les-plages,43.0938,5.84,14.3,64,0,4.12,FR,1731519127
258,general acha,-37.377,-64.6043,28.68,21,35,3.63,AR,1731519058
259,mokhsogollokh,61.4681,128.9203,-20.7,99,94,1.43,RU,1731519129
260,moama,-36.1167,144.7833,8.63,84,18,4.78,AU,1731519130
261,polatli,39.5772,32.1413,9.89,56,24,1.3,TR,1731519131
262,beira,-19.8436,34.8389,27.05,78,20,5.14,MZ,1731518971
263,san andres,12.5847,-81.7006,30.01,79,40,2.57,CO,1731519134
264,saint albans,51.75,-0.3333,9.58,89,64,3.6,GB,1731519135
265,mao,39.8885,4.2658,17.31,82,20,3.09,ES,1731518937
266,panauti,27.5814,85.5124,14.18,88,20,1.03,NP,1731519137
267,dhuusamarreeb,5.535,46.3861,29.91,46,55,1.17,SO,1731519138
268,kisangani,0.5167,25.2,29.2,74,20,0.0,CD,1731519139
269,laholm,56.5121,13.0437,9.08,91,96,4.8,SE,1731519140
270,calama,-22.4667,-68.9333,23.27,13,0,8.75,CL,1731519049
271,belmonte,-15.8631,-38.8828,27.75,70,61,6.46,BR,1731518850
272,leh,34.1667,77.5833,-2.19,55,80,2.37,IN,1731519145
273,brejo da madre de deus,-8.1458,-36.3711,33.23,24,25,5.88,BR,1731519146
274,chonchi,-42.6128,-73.8092,17.84,83,99,0.72,CL,1731519147
275,kajaani,64.2273,27.7285,5.03,87,75,5.66,FI,1731519149
276,claveria,18.6074,121.0832,25.29,91,58,3.67,PH,1731519150
277,kavieng,-2.5744,150.7967,27.24,78,44,5.5,PG,1731519151
278,portland,45.5234,-122.6762,11.36,95,100,3.13,US,1731519010
279,bamboo flat,11.7,92.7167,28.05,83,40,1.03,IN,1731519153
280,island harbour,50.724,-1.2758,10.04,67,76,3.33,GB,1731519154
281,poronaysk,49.2167,143.1167,-3.59,63,16,2.91,RU,1731518992
282,laghouat,33.8,2.8651,16.76,47,68,3.99,DZ,1731519157
283,puerto colombia,10.9878,-74.9547,27.05,73,76,4.4,CO,1731519158
284,vize,41.5725,27.7658,8.52,87,100,3.52,TR,1731519159
285,sao felix do xingu,-6.6447,-51.995,28.19,65,86,2.04,BR,1731519017
286,port lincoln,-34.7333,135.8667,13.71,66,65,3.87,AU,1731519161
287,chipinge,-20.1883,32.6236,17.92,95,68,1.62,ZW,1731519162
288,bathurst,-33.4166,149.5806,9.98,99,0,1.05,AU,1731519163
289,crane,31.3974,-102.3501,20.44,16,0,7.77,US,1731519149
290,tarawa,1.419,172.984,27.05,78,20,3.6,KI,1731519166
291,aquidauana,-20.4711,-55.7872,27.24,37,99,1.52,BR,1731519167
292,lycksele,64.5954,18.6735,4.93,70,75,2.06,SE,1731519168
293,antofagasta,-23.65,-70.4,19.6,67,10,3.39,CL,1731518660
294,puerto deseado,-47.7503,-65.8938,12.54,58,0,7.26,AR,1731519170
295,mossendjo,-2.9506,12.7261,22.31,96,48,0.07,CG,1731519172
296,mezhdurechenskiy,59.6,65.9333,-15.26,92,59,1.84,RU,1731519173
297,lubang,13.8584,120.124,28.57,74,90,3.56,PH,1731519174
298,kasongo-lunda,-6.4667,16.8167,26.82,70,100,0.41,CD,1731519175
299,novotroitskaya,45.3267,41.5253,4.82,76,42,2.96,RU,1731519177
300,durban,-29.8579,31.0292,21.51,82,21,9.26,ZA,1731519178
301,loralai,30.3705,68.598,14.57,28,51,2.8,PK,1731519180
302,mugumu,-1.85,34.7,18.7,80,93,1.2,TZ,1731519181
303,kerikeri,-35.2268,173.9474,17.73,94,90,1.34,NZ,1731519182
304,south hedland,-20.4089,118.5983,30.96,37,10,6.69,AU,1731519183
305,severo-yeniseyskiy,60.3725,93.0408,-15.57,90,100,4.25,RU,1731519184
306,huarmey,-10.0681,-78.1522,21.78,70,88,4.04,PE,1731518608
307,klyuchi,52.2667,79.1667,-7.12,92,100,6.49,RU,1731519186
308,fonte boa,-2.4959,-66.2662,26.21,90,89,2.36,BR,1731519189
309,la rioja,42.25,-2.5,5.88,79,90,0.99,ES,1731519134
310,fort bragg,35.139,-79.006,14.95,50,0,3.6,US,1731519191
311,capo d'orlando,38.1435,14.7305,18.5,72,1,4.03,IT,1731519192
312,alaghsas,17.0187,8.0168,29.94,15,0,6.17,NE,1731519193
313,pinczow,50.5205,20.5265,-0.22,71,37,2.06,PL,1731519194
314,at taj,24.2049,23.2857,19.98,27,7,5.01,LY,1731519196
315,alotau,-10.3069,150.4462,24.61,95,82,1.19,PG,1731519199
316,kawm umbu,24.4767,32.9463,23.93,22,39,4.72,EG,1731519200
317,bir hadaj,31.0263,34.7031,17.82,83,19,4.16,IL,1731519201
318,bykhaw,53.5193,30.2469,1.52,72,78,1.74,BY,1731519203
319,kenitra,34.261,-6.5802,19.42,71,100,4.63,MA,1731519204
320,port macquarie,-31.4333,152.9167,18.55,95,69,1.1,AU,1731519205
321,emerald,-23.5333,148.1667,21.3,84,97,3.93,AU,1731519027
322,caarapo,-22.6342,-54.8222,29.73,18,0,3.57,BR,1731519207
323,kiffa,16.6166,-11.4045,32.19,15,0,0.98,MR,1731519208
324,lerwick,60.1545,-1.1494,8.95,82,54,10.03,GB,1731519210
325,nouadhibou,20.931,-17.0347,23.99,57,3,8.23,MR,1731519211
326,konstantinovskoye,45.2992,42.6367,3.1,80,55,4.37,RU,1731519212
327,afif,23.9065,42.9172,23.2,19,13,2.37,SA,1731519213
328,freetown,8.484,-13.2299,27.2,75,92,2.33,SL,1731519214
329,aswan,24.0934,32.907,27.61,21,0,3.6,EG,1731519215
330,centralia,46.7162,-122.9543,11.38,95,100,0.89,US,1731519216
331,tha kham,9.1107,99.2321,26.68,100,45,0.89,TH,1731519218
332,mount pearl,47.5166,-52.7813,4.07,95,100,11.32,CA,1731519219
333,chibougamau,49.9168,-74.3659,-2.21,64,0,4.63,CA,1731519220
334,petropavlovka,50.6114,105.3196,-11.89,86,83,0.66,RU,1731519221
335,antsiranana,-12.2787,49.2917,24.48,77,99,5.63,MG,1731519222
336,alpine,32.835,-116.7664,20.71,27,0,1.61,US,1731519224
337,hami,42.8,93.45,8.29,56,46,2.07,CN,1731519225
338,don sak,9.3168,99.6918,26.47,76,49,0.78,TH,1731519226
339,ataq,14.5377,46.8319,21.46,21,5,1.22,YE,1731519227
340,stepnogorsk,52.3544,71.8869,-10.44,93,95,5.23,KZ,1731519228
341,ghanzi,-21.5667,21.7833,28.96,29,96,3.86,BW,1731519229
342,jaisalmer,26.9147,70.9181,27.02,26,0,2.15,IN,1731519230
